ID;Kasutusotstarve;Kasutusotstarve_ID;Maakond;KOV;KOV_voi_LinnaOsa;Esmane_Kasutuselevotu_Aasta;Ajastu;;Hooneosade_Arv;Hooneosade_Arv_Normaliseeritud;Ruumide_Arv;Rummide_arv_vannitoata;Maksimaalne_Korruste_Arv
293;Muu kolme või enama korteriga elamu;11222;Tartu maakond; Tartu linn; Tartu linn;1918;1911-1920;<1950;21;20;60;39;3
97;Muu kolme või enama korteriga elamu;11222;Tartu maakond; Tartu linn; Tartu linn;1959;1951-1960;1950-1980;12;10;51;39;3
5;Muu kolme või enama korteriga elamu;11222;Tartu maakond; Tartu linn; Tartu linn;1976;1971-1980;1950-1980;27;30;108;81;3
340;Muu kolme või enama korteriga elamu;12311;Tartu maakond; Tartu linn; Tartu linn;1981;1981-1990;>1980;61;60;144;83;5
TP17;Muu kolme või enama korteriga elamu;11222;Tartu maakond; Tartu vald; Kärkna küla;1978 (2019);1971-1980;>1980;27;30;108;81;3
328;Muu kolme või enama korteriga elamu;11222;Tartu maakond; Tartu linn; Tartu linn;1960;1951-1960;1950-1980;24;20;90;66;3
TP12;Muu kolme või enama korteriga elamu;11222;Tartu maakond; Elva vald; Elva linn;1970 (2020);1961-1970;>1980;12;10;48;36;2
384;Muu kolme või enama korteriga elamu;12319;Tartu maakond; Tartu linn; Tartu linn;1958;1951-1960;1950-1980;21;20;62;41;4
329;Muu kolme või enama korteriga elamu;11222;Tartu maakond; Tartu linn; Tartu linn;1959;1951-1960;1950-1980;24;20;90;66;3
316;Muu kolme või enama korteriga elamu;11222;Tartu maakond; Tartu linn; Tartu linn;1912;1911-1920;<1950;45;50;144;99;4
349;Muu kolme või enama korteriga elamu;12331;Tartu maakond; Tartu linn; Tartu linn;1961;1961-1970;1950-1980;60;60;244;184;5
46;Muu kolme või enama korteriga elamu;11222;Tartu maakond; Tartu linn; Tartu linn;1978;1971-1980;1950-1980;54;50;274;220;5
273;Muu kolme või enama korteriga elamu;11222;Tartu maakond; Tartu linn; Tartu linn;1958;1951-1960;1950-1980;11;10;46;35;3
386;Muu kolme või enama korteriga elamu;11222;Tartu maakond; Tartu linn; Tartu linn;1962;1961-1970;1950-1980;32;30;120;88;4
336;Muu kolme või enama korteriga elamu;11318;Tartu maakond; Tartu linn; Tartu linn;1962;1961-1970;1950-1980;49;50;206;157;4
362;Muu kolme või enama korteriga elamu;12201;Tartu maakond; Tartu linn; Tartu linn;1959;1951-1960;1950-1980;30;30;78;48;4
16;Muu kolme või enama korteriga elamu;11222;Tartu maakond; Elva vald; Elva linn;1970;1961-1970;1950-1980;18;20;72;54;3
224;Muu kolme või enama korteriga elamu;11222;Tartu maakond; Tartu linn; Tartu linn;1990;1981-1990;>1980;15;20;76;61;3
389;Muu kolme või enama korteriga elamu;11222;Tartu maakond; Tartu linn; Tartu linn;1962;1961-1970;1950-1980;31;30;117;86;4
383;Muu kolme või enama korteriga elamu;11222;Tartu maakond; Tartu linn; Tartu linn;1962;1961-1970;1950-1980;32;30;120;88;4
